keyword,count,avgPlayers
tower defense,12,7906
don steal,3,19275
car driving,3,4799
stranger things,3,4476
pet simulator,2,19950
defense simulator,2,16343
steal brainrots,2,15872
murderers sheriffs,2,14914
five nights,2,5129
don get,2,5024
supermarket simulator,2,3410
