rebalance_date,rank,universeId,name,developer,weight,score,edr_7d_mean,edr_mom,edr_14d_vol,coverage_7d,avg_ccu,visits,favorites,likes,monetization_count,median_price,price_dispersion,engagement_score,edr_raw
2026-01-09,1,6035872082,RIVALS,Nosniy Games,0.06924260400608831,0.7982517482517482,12445.892559558331,1.2916053409660573,0.3307389945078571,0.5714285714285714,313254.0,10328945247,49869889,7573533,0,0.0,0.0,0.13903506269598098,17421.31581190673
2026-01-09,2,9363735110,Escape Tsunami For Brainrots!,Wave of Brainrots,0.030680865512317045,0.7884615384615383,5514.679311699217,1.7709153355225997,0.5796304559713684,0.5714285714285714,247276.0,45960631,21855,142410,0,0.0,0.0,0.08935092731864364,8837.735961457971
2026-01-09,3,8834587397,Find the Brainrot [323],Find The Games World,0.04420407187759423,0.7869463869463871,7945.384740804342,1.1843756848790365,0.19594817230810918,0.5714285714285714,29532.0,457879612,12189314,489415,0,0.0,0.0,0.6922523228660376,8177.438239551929
2026-01-09,4,9291952559,[NOW!] Escape the Tsunami on Bike,Do you like a bike?,0.034394054116857115,0.7756410256410255,6182.1,1.204063984022168,0.32006952112157694,0.5714285714285714,14441.0,17635114,1068301,57567,0,0.0,0.0,1.5,8664.6
2026-01-09,5,8722889197,Don’t Steal the Brainrots 🧠,lol games..,0.0442780978853805,0.7728438228438228,7958.690418035083,1.1283959639379204,0.15266891799900223,0.5714285714285714,20539.0,92063280,3694605,77027,0,0.0,0.0,1.0241955315952245,8414.380809373726
2026-01-09,6,4540138978,Metro Life 🏡 City RP,Century Creators,0.03241187355350696,0.7655011655011655,5825.816369723305,1.1786978405129362,0.27270715571290016,0.5714285714285714,28323.0,1956092461,55004791,278274,0,0.0,0.0,0.7065497426913298,8004.643344898614
2026-01-09,7,8926300874,[⚡] Keyboard ASMR Speed Escape,Hotkeys Games,0.012744028487775085,0.7624708624708625,2290.6534439527018,1.3672676872038032,0.4436943100485468,0.5714285714285714,9045.0,9356147,284919,61376,0,0.0,0.0,0.9253141277066297,3347.786514042586
2026-01-09,8,7326934954,99 Nights in the Forest 🔦,Grandma's Favourite Games,0.015819221512884073,0.75990675990676,2843.3987160260103,1.183256817604602,0.24158545729344838,0.5714285714285714,862282.0,22055014843,5316984,4029863,0,0.0,0.0,0.01059492259077597,3654.324416567794
2026-01-09,9,8539298853,Scary Shawarma Kiosk: the ANOMALY [horror],kharbor_ykt,0.014006598514061325,0.7576923076923077,2517.591918055952,1.194280197014041,0.22420330531069183,0.5714285714285714,161306.0,440379087,712102,133679,0,0.0,0.0,0.048014371309144384,3098.0024713571374
2026-01-09,10,9260939847,[🦸‍♂️] Kick Door To Escape [TRAINER x2],KICK 101,0.01490752816505866,0.7558275058275058,2679.5279659701423,1.197534237007048,0.29430511245861374,0.5714285714285714,14978.0,25289829,553249,68897,0,0.0,0.0,0.6150160208675194,3684.683984221482
2026-01-09,11,9083680687,[🥳] Don't Steal the Baby Brainrots,Crazay Minds,0.020091575854105603,0.755011655011655,3611.325686284529,1.1798195110859384,0.31463974485240626,0.5714285714285714,12593.0,42601958,1774709,15248,0,0.0,0.0,1.0503959700631602,5291.05458040215
2026-01-09,12,9344307274,⛏️ Break a Lucky Block!,Slime Time Studios,0.010168679511835392,0.7543123543123543,1827.751779320105,1.4250460513649632,0.42422582697992467,0.5714285714285714,59963.0,30475365,30469,111666,0,0.0,0.0,0.11659827536109903,2796.6329541910322
2026-01-09,13,8937254139,Dungeon Hunters [1.5x exp],The Evac Syndicate,0.014039003103702619,0.752913752913753,2523.416425191424,1.1883769175976975,0.24957760246264704,0.5714285714285714,19351.0,64116377,848442,198198,0,0.0,0.0,0.40810166176420104,3158.870102719622
2026-01-09,14,7960300951,Bridge Battles!,STUDMASTER,0.01491613952182034,0.7511655011655012,2681.0757994548344,1.14183386747418,0.17497614912955856,0.5714285714285714,5901.0,97924063,4271504,202223,0,0.0,0.0,1.1421418962160506,2695.9117318283656
