rebalance_date,rank,universeId,name,developer,weight,score,edr_7d_mean,edr_mom,edr_14d_vol,coverage_7d,avg_ccu,visits,favorites,likes,monetization_count,median_price,price_dispersion,engagement_score,edr_raw
2026-01-06,1,7709344486,[👹] Steal a Brainrot,BRAZILIAN SPYDER,0.08412484813496529,0.7251824817518249,15325.564201819216,1.0,0.0,0.14285714285714285,2127552.0,53053580821,24688260,13528247,0,0.0,0.0,0.01800844844429092,15325.564201819216
2026-01-06,2,6035872082,RIVALS,Nosniy Games,0.05504079888487993,0.7236009732360098,10027.136045182888,1.0,0.0,0.14285714285714285,179107.0,10253405820,49869889,7532834,0,0.0,0.0,0.1399601361920931,10027.136045182888
2026-01-06,3,8834587397,Find the Brainrot [323],Find The Games World,0.043218100784372396,0.7220194647201947,7873.3191552270955,1.0,0.0,0.14285714285714285,27912.0,449387708,12189314,486857,0,0.0,0.0,0.7051912398992454,7873.3191552270955
2026-01-06,4,8722889197,Don’t Steal the Brainrots 🧠,lol games..,0.04157334780203041,0.7204379562043797,7573.683934649041,1.0,0.0,0.14285714285714285,17295.0,86012693,3694605,71992,0,0.0,0.0,1.0947794065696792,7573.683934649041
2026-01-06,5,8791358380,Don’t Steal the Bubu 🐻,lol games..,0.03814747435298702,0.7188564476885645,6949.5705525197955,1.0,0.0,0.14285714285714285,19212.0,186738993,6598826,156097,0,0.0,0.0,0.9043267947792779,6949.5705525197955
2026-01-06,6,6701277882,[💎UPD] Fish It! 🐟,Fish Atelier,0.03264391503193418,0.7172749391727494,5946.951783116524,1.0,0.0,0.14285714285714285,893610.0,3040593158,876334,1147173,0,0.0,0.0,0.016637436306432683,5946.951783116524
2026-01-06,7,9291952559,Escape the Tsunami on Bike,Do you like a bike?,0.027490933376503116,0.7156934306569344,5008.200000000001,1.0,0.0,0.14285714285714285,8347.0,14678616,1068301,48872,0,0.0,0.0,1.5,5008.200000000001
2026-01-06,8,4540138978,Metro Life 🎄 City RP,Century Creators,0.025206576608256016,0.7141119221411193,4592.044047415521,1.0,0.0,0.14285714285714285,16210.0,1951488390,55004791,277878,0,0.0,0.0,0.7082116050918448,4592.044047415521
2026-01-06,9,601130232,🎁 Bee Swarm Simulator,Onett,0.024705188612388795,0.7125304136253042,4500.702974105568,1.0,0.0,0.14285714285714285,185406.0,3733903908,6286026,2777970,0,0.0,0.0,0.0606871268204045,4500.702974105568
2026-01-06,10,7671049560,The Forge [XMAS],The Forge Community,0.023568392761066044,0.7109489051094892,4293.605568403776,1.0,0.0,0.14285714285714285,161648.0,832365645,826501,1384383,0,0.0,0.0,0.06640362962121052,4293.605568403776
2026-01-06,11,5995470825,[🔥]  Hypershot,Frosted Studio,0.021275905501330145,0.709367396593674,3875.968431935266,1.0,0.0,0.14285714285714285,38501.0,525177585,4281894,1005168,0,0.0,0.0,0.2516797246782724,3875.968431935266
2026-01-06,12,9083680687,Don't Steal the Baby Brainrots,Crazay Minds,0.01803500525974082,0.7077858880778589,3285.552807713478,1.0,0.0,0.14285714285714285,7356.0,40054461,1774709,14321,0,0.0,0.0,1.1166234392718455,3285.552807713478
2026-01-06,13,1686885941,Brookhaven 🏡RP,Brookhaven by Voldex,0.016080398079860066,0.7062043795620438,2929.4694567332735,1.0,0.0,0.14285714285714285,684048.0,76947480913,25535996,7417144,0,0.0,0.0,0.010706373882875446,2929.4694567332735
2026-01-06,14,9100068452,[❄️] Park a Car🅿️,NoDrivingLicense,0.0158438324265743,0.7046228710462288,2886.3727714167094,1.0,0.0,0.14285714285714285,5738.0,23292993,1064047,107655,0,0.0,0.0,1.2575691754168303,2886.3727714167094
2026-01-06,15,5421899973,[❄️] Combat Arena,Atomic Horizon,0.014241249645810937,0.7030413625304137,2594.419967461386,1.0,0.0,0.14285714285714285,5232.0,152677676,7312166,258744,0,0.0,0.0,1.239688440109607,2594.419967461386
2026-01-06,16,383310974,[🐶] Adopt Me!,Uplift Games,0.013842838017337317,0.7014598540145986,2521.8387607633617,1.0,0.0,0.14285714285714285,286288.0,41698556097,28217159,8514047,0,0.0,0.0,0.02202186924323899,2521.8387607633617
