rebalance_date,rank,universeId,name,developer,weight,score,edr_7d_mean,edr_mom,edr_14d_vol,coverage_7d,avg_ccu,visits,favorites,likes,monetization_count,median_price,price_dispersion,engagement_score,edr_raw
2026-01-19,1,6035872082,RIVALS,Nosniy Games,0.07864934825907768,0.812984496124031,13619.813598633247,1.3274861273542469,0.2812696180211083,1.0,358633.0,10674071799,51416270,7753132,0,0.0,0.0,0.1385820779412953,19880.04254332822
2026-01-19,2,9363735110,Escape Tsunami For Brainrots!,Wave of Brainrots,0.0583719907863516,0.8017441860465117,10108.35628634069,1.772839000499955,0.5418877653787548,1.0,747973.0,738809796,172352,820890,0,0.0,0.0,0.03360952999599913,10055.608391878983
2026-01-19,3,9344307274,⛏️ Break a Lucky Block!,Slime Time Studios,0.014984936515327618,0.7920542635658915,2594.96164486727,1.5955095878575645,0.3568229837706238,1.0,131429.0,116487529,61910,255946,0,0.0,0.0,0.06821674447227737,3586.2634036987765
2026-01-19,4,9319914497,Spin a Baddie 🎲,44th class,0.021614124175353983,0.7875968992248062,3742.947003150233,1.105918487443768,0.13720539759660538,0.8571428571428571,18051.0,7832890,86878,115375,0,0.0,0.0,0.6455248318309079,4660.947495751888
2026-01-19,5,1202096104,[NEW LIMITED] Driving Empire🏎️ Car Racing,Driving Empire by Voldex,0.014010579023851428,0.7816860465116279,2426.2308453618093,1.2979038651674208,0.29541758525190864,1.0,34449.0,2499502023,25392521,2226154,0,0.0,0.0,0.2762417748201198,3806.501160311323
2026-01-19,6,7960300951,Bridge Battles!,STUDMASTER,0.014616027416092603,0.7781007751937985,2531.077159138672,1.1426402450174877,0.17999854211621824,1.0,7231.0,103944894,4413265,212397,0,0.0,0.0,1.112527470565317,3217.874455863123
2026-01-19,7,601130232,Bee Swarm Simulator,Onett,0.02738230643666046,0.776453488372093,4741.830896544346,1.0528743007465802,0.07788938030520215,1.0,235777.0,3830896335,6303275,2821267,0,0.0,0.0,0.05954573813859152,5615.806200441078
2026-01-19,8,3808223175,[❄️] Jujutsu Infinite,Awesome Ninja Games,0.009637807322597518,0.7674418604651163,1668.9920786237433,1.1777121586351378,0.1733111030542945,1.0,36185.0,555904856,1727067,1197863,0,0.0,0.0,0.13153914597213018,1903.8975988006123
2026-01-19,9,6336741296,[NEW ISLAND] Flight World ✈️,Limitless Flight,0.008156083684747982,0.7607558139534883,1412.4,1.2915227124112316,0.2641336245632882,1.0,3305.0,30890953,2050421,101854,0,0.0,0.0,1.5,1983.0
2026-01-19,10,383310974,[🐶] Adopt Me!,Uplift Games,0.016379807343774408,0.7584302325581395,2836.5133054739895,1.1002282178505192,0.20029677080325223,1.0,372841.0,41860952086,28254297,8564168,0,0.0,0.0,0.021988549689672246,3279.293141938836
2026-01-19,11,4540138978,Metro Life 🏡 City RP,Century Creators,0.03292116683612753,0.7570736434108528,5701.00281416905,1.0698696419603317,0.19032013829937316,1.0,18171.0,1974607231,55512920,280042,0,0.0,0.0,0.7063805034754276,5134.2560514607985
2026-01-19,12,7658304545,Case Paradise,CRYSTAZE,0.007722392829482292,0.756782945736434,1337.297170302123,1.2132836033638508,0.19327985630510242,1.0,7603.0,9401877,87881,119757,0,0.0,0.0,0.5521184759170961,1679.1027089590727
2026-01-19,13,994732206,[🌐] Blox Fruits,Gamer Robot Inc,0.012202159070837805,0.7534883720930232,2113.064325698351,1.0795753163520143,0.1361709387327422,1.0,467484.0,58063235225,17665918,11351105,0,0.0,0.0,0.01249371606988336,2336.244945285341
2026-01-19,14,5995470825,[👑RANKED] Hypershot,Frosted Studio,0.022368542525778256,0.75,3873.5906452859576,1.0727243215800522,0.18676088532337823,1.0,45406.0,581613316,5304845,1094227,0,0.0,0.0,0.27505697617143277,4995.694824016031
2026-01-19,15,9362896961,Anime Card Collection,Crew Simulators,0.008720632829786608,0.7486434108527131,1510.1637360371437,1.0899346527148226,0.1226073460136077,0.7142857142857143,10571.0,6924861,31925,86835,0,0.0,0.0,0.4287450679515445,1812.9056453263106
2026-01-19,16,1831550657,❄️ Creatures of Sonaria 🎁 Survive Kaiju Animals,Sonar Studios,0.008427216840998614,0.7472868217054264,1459.3524939530125,1.1897441813076248,0.21577449258191886,1.0,36150.0,1740308062,8523998,1210244,0,0.0,0.0,0.13983504145830936,2022.0146994871534
2026-01-19,17,8967864843, [UPD] You VS Homer,deerxsx,0.006516512977666621,0.7455426356589148,1128.4733317373668,1.5839868425758181,0.36535792456980304,1.0,29813.0,22620124,69811,49971,0,0.0,0.0,0.13238433175697886,1578.7096330683244
2026-01-19,18,4793836769, [LIMITEDS!]🚗Midnight Chasers: Highway Racing,Midnight In-dev,0.009659492110201265,0.7424418604651164,1672.74726250799,1.164980093266594,0.24519608790906894,1.0,10570.0,182164012,3691697,646217,0,0.0,0.0,0.5953308164951921,2517.0586921416725
2026-01-19,19,9266873836,[⚔️] Anime Fighting Simulator: Endless,AFS: Endless,0.015350221528037047,0.7422480620155039,2658.2185426496694,1.0212344021288053,0.0863420415945049,1.0,46045.0,52636464,70023,206185,0,0.0,0.0,0.13118662378232704,2416.1952368228995
2026-01-19,20,9351808693,Your Zoo! 🦓,Small Team Big Dreams Studio,0.028418064394658858,0.741812015503876,4921.19449755945,1.0,0.0,0.14285714285714285,9163.0,6084282,308607,18163,0,0.0,0.0,1.342681026290366,4921.19449755945
2026-01-19,21,7872343282,OVERKILL,Repotted,0.006344813023195759,0.7371124031007752,1098.7398192982853,1.6107236905173248,0.4275080436424614,1.0,6402.0,9407532,171688,43499,0,0.0,0.0,0.5718476429312173,1464.3874440182612
2026-01-19,22,3508322461,[HEAD OF HEI] Jujutsu Shenanigans,Tze's Shenanigans,0.007195966160707689,0.7367248062015503,1246.1351548402595,1.4184343932677987,0.4527517100035779,1.0,207731.0,2916477685,1548895,1451230,0,0.0,0.0,0.025717023444326473,2136.8891988453533
2026-01-19,23,9083680687,Don't Steal the Baby Brainrots,Crazay Minds,0.019471857048889304,0.7363372093023256,3371.967718683486,1.0803515981572578,0.242409087679008,1.0,9909.0,54588099,2015986,19189,0,0.0,0.0,0.9320598433002768,3694.312394904977
2026-01-19,24,5421899973,Combat Arena,Atomic Horizon,0.016018980414569818,0.7322674418604651,2774.028420018292,1.0267566342345973,0.14385970373062934,0.8571428571428571,4717.0,159266429,7543931,262412,0,0.0,0.0,1.225359143325804,2312.007631627127
2026-01-19,25,8926300874,[⚡] Keyboard ASMR Speed Escape,Hotkeys Games,0.012312490505056116,0.7290697674418605,2132.1705688063453,1.1328982270607932,0.3187522698759141,1.0,4765.0,16593682,548218,94089,0,0.0,0.0,0.967698127516244,1844.432631045961
2026-01-19,26,2711375305,Catalog Avatar Creator,itsMuneeeb,0.007358720099402091,0.7272286821705427,1274.3194736747805,1.0801163851651632,0.1320561789084598,0.7142857142857143,121913.0,5800436671,4740869,2464850,0,0.0,0.0,0.031056795413463793,1514.4908396966446
2026-01-19,27,7703544118,Container RNG📦,Exply Studios,0.00466079569038782,0.7261627906976743,807.1162689777092,1.365839387772603,0.23149712414011833,1.0,3114.0,60100759,1071458,845467,0,0.0,0.0,0.7973796969851912,993.2161505647542
2026-01-19,28,5578556129,[🦩PART 2🦩] Anime Vanguards,Kitawari,0.005325663082383976,0.7258720930232558,922.2522509945962,1.2767466418604458,0.2520086875160056,1.0,44195.0,1672646605,1670851,2473209,0,0.0,0.0,0.06193866635684231,1094.9517438562584
2026-01-19,29,6601115643,Prison Pump,The Gang Stockholm,0.0064355052064943765,0.7246124031007752,1114.445106865467,1.2627443536169352,0.34724627864704777,0.42857142857142855,6690.0,113134718,2291925,179102,0,0.0,0.0,0.5460364076746097,1461.1934269372555
2026-01-19,30,6369934270,💀 Hide or Die!,0 CCU Games,0.011110749136267506,0.7241279069767442,1924.0633969229712,1.0371740922291734,0.13426062013505383,1.0,14621.0,595232958,9309960,294641,0,0.0,0.0,0.40339672353962636,2359.225397949151
2026-01-19,31,8854196497,[💸] Tap to Get Rich!,Loopin' Fun,0.012510891615298914,0.7235465116279071,2166.5279563636786,1.1117196418981345,0.3132198953006416,1.0,8370.0,11436788,386975,39839,0,0.0,0.0,0.932984855538111,3123.6332963415953
2026-01-19,32,7326934954,[💥] 99 Nights in the Forest 🔦,Grandma's Favourite Games,0.014371898060890238,0.7211240310077521,2488.800949794153,1.0705664477646457,0.2335562152391774,1.0,752477.0,22719941255,5435009,4132318,0,0.0,0.0,0.01052745569697997,3168.6673121985586
2026-01-19,33,8238863102,Tower of Zombies 🧟 ,Undead Dev.,0.0052446180379309955,0.7195736434108526,908.2175714584548,1.2583110306502066,0.24412934630532498,0.5714285714285714,9019.0,183118235,2146089,111240,0,0.0,0.0,0.3081791663184172,1111.7871604103218
2026-01-19,34,8779464785,[🏛️ PLAZA!] Tap Simulator ✨,Cursor Makers,0.0054208954868419585,0.7193798449612403,938.7437747767742,1.2418356765491492,0.26042476428465905,1.0,62153.0,55541419,44077,73004,0,0.0,0.0,0.05269985990095068,1310.181756969515
2026-01-19,35,8832884753,[🌵UPD] Pickaxe Simulator! ⛏️,6 7 Games,0.005922836053555933,0.7145348837209302,1025.6654989558124,1.0730708401354743,0.10580746874609812,1.0,9440.0,40574194,419286,59575,0,0.0,0.0,0.29505268792277184,1114.1189495963865
2026-01-19,36,4839802560,LifeTogether 🏠 RP,Cinnamon Software,0.011400797740272,0.709593023255814,1974.2915044474228,1.1096459824916776,0.38877983112732184,1.0,89085.0,2932426526,11068017,722202,0,0.0,0.0,0.10051589439209704,3581.7833807679863
2026-01-19,37,8964844004,My Boba Stand,Habit Games!,0.005109603022101986,0.7087209302325581,884.8368392678943,1.557822247739429,0.5031060176016435,1.0,5712.0,14440089,83105,137672,0,0.0,0.0,0.38222929235408454,873.3174871706124
2026-01-19,38,2073329983,UPDATE | Realistic Car Driving™,Ferdi26,0.0057063393394002045,0.7074612403100775,988.1744712895116,1.2564591223465926,0.3805603091359984,1.0,6106.0,183653901,3888505,414372,0,0.0,0.0,0.5857317727217785,1430.5912816956718
2026-01-19,39,1686885941,Brookhaven 🏡RP,Brookhaven by Voldex,0.016017486492624626,0.7064922480620155,2773.769715542351,1.007974958265908,0.16968445800126836,1.0,813560.0,77632956898,25599776,7479501,0,0.0,0.0,0.010652459445626306,3466.565962633495
2026-01-19,40,8966749273,Shoot a Plane,Crazy Launchers,0.009330642889985691,0.7040213178294574,1615.8000000000002,1.0,0.0,0.14285714285714285,2693.0,3891605,214308,104842,0,0.0,0.0,1.5,1615.8000000000002
2026-01-19,41,8520148363,💥 Tank Game!,7x3,0.007735367221547136,0.7033914728682171,1339.543963255787,1.0391474800820453,0.14458252928872775,1.0,9177.0,103414822,1380958,476092,0,0.0,0.0,0.44893226234049893,1647.9405485995035
